USAF,NCDC,Date,HrMn,I,Type,QCP,Dir,Q,I,Spd,Q,Temp,Q,Dewpt,Q,Slp,Q,RHx,
419920,99999,20121108,0000,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  22.0,1,1008.6,1, 94,
419920,99999,20121108,0600,4,FM-12,    ,330,1,N,  1.0,1,  30.5,1,  22.0,1,1008.8,1, 61,
419920,99999,20121108,1200,4,FM-12,    ,999,9,C,  0.0,1,  27.5,1,  24.0,1,1007.4,1, 81,
419920,99999,20121108,1800,4,FM-12,    ,999,9,C,  0.0,1,  25.2,1,  23.0,1,1008.5,1, 88,
419920,99999,20121109,0000,4,FM-12,    ,999,9,C,  0.0,1,  23.4,1,  23.0,1,1008.8,1, 98,
419920,99999,20121109,0600,4,FM-12,    ,330,1,N,  3.1,1,  30.0,1,  18.0,1,1010.4,1, 49,
419920,99999,20121109,1200,4,FM-12,    ,020,1,N,  3.6,1,  26.8,1,  19.0,1,1008.8,1, 62,
419920,99999,20121109,1800,4,FM-12,    ,010,1,N,  2.1,1,  24.5,1,  21.0,1,1010.6,1, 81,
419920,99999,20121110,0000,4,FM-12,    ,020,1,N,  2.6,1,  22.5,1,  21.0,1,1010.6,1, 91,
419920,99999,20121110,0600,4,FM-12,    ,360,1,N,  4.1,1,  29.0,1,  15.0,1,1012.1,1, 43,
419920,99999,20121110,1200,4,FM-12,    ,999,9,C,  0.0,1,  24.7,1,  18.0,1,1010.4,1, 66,
419920,99999,20121110,1800,4,FM-12,    ,999,9,C,  0.0,1,  20.8,1,  19.0,1,1011.6,1, 89,
419920,99999,20121111,0000,4,FM-12,    ,999,9,C,  0.0,1,  19.0,1,  17.0,1,1011.3,1, 88,
419920,99999,20121111,0600,4,FM-12,    ,020,1,N,  1.5,1,  28.0,1,  17.0,1,1012.2,1, 51,
419920,99999,20121111,1200,4,FM-12,    ,999,9,C,  0.0,1,  24.2,1,  18.0,1,1009.7,1, 68,
419920,99999,20121112,0000,4,FM-12,    ,999,9,C,  0.0,1,  19.2,1,  18.0,1,1011.9,1, 93,
419920,99999,20121112,1200,4,FM-12,    ,999,9,C,  0.0,1,  24.5,1,  20.0,1,1010.2,1, 76,
419920,99999,20121112,1800,4,FM-12,    ,999,9,C,  0.0,1,  21.8,1,  20.0,1,1013.3,1, 90,
419920,99999,20121113,0000,4,FM-12,    ,999,9,C,  0.0,1,  20.6,1,  19.0,1,1012.8,1, 91,
419920,99999,20121113,0600,4,FM-12,    ,030,1,N,  3.1,1,  27.8,1,  16.0,1,1012.5,1, 49,
419920,99999,20121113,1200,4,FM-12,    ,999,9,C,  0.0,1,  24.5,1,  19.0,1,1009.2,1, 72,
419920,99999,20121113,1800,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  21.0,1,1011.0,1, 89,
419920,99999,20121114,0000,4,FM-12,    ,999,9,C,  0.0,1,  21.8,1,  19.0,1,1010.2,1, 84,
419920,99999,20121114,0600,4,FM-12,    ,040,1,N,  3.6,1,  27.6,1,  17.0,1,1011.1,1, 53,
419920,99999,20121114,1200,4,FM-12,    ,999,9,C,  0.0,1,  25.5,1,  19.0,1,1008.8,1, 67,
419920,99999,20121114,1800,4,FM-12,    ,360,1,N,  2.1,1,  23.8,1,  19.0,1,1010.2,1, 75,
